test_index,k,label_ranking_average_precision,hit_at_k,mrr
12,5,0.19500891265597148,1,1.0
12,10,0.25080213903743315,1,1.0
13,1,0.1239819004524887,1,1.0
13,2,0.08552036199095024,1,0.5
13,3,0.14570135746606336,1,1.0
13,5,0.17767722473604827,1,1.0
13,10,0.2236802413273002,1,1.0
14,1,0.12321981424148609,1,1.0
14,2,0.17192982456140352,1,1.0
14,3,0.2206398348813209,1,1.0
14,5,0.3180598555211558,1,1.0
14,10,0.37997936016511863,1,1.0
15,1,0.1213235294117647,1,1.0
15,2,0.17990196078431372,1,1.0
15,3,0.13823529411764707,1,1.0
15,5,0.24705882352941178,1,1.0
15,10,0.2642156862745098,1,1.0
16,1,0.023529411764705882,0,0.3333333333333333
16,2,0.10294117647058824,1,1.0
16,3,0.07516339869281047,1,0.5
16,5,0.14901960784313728,1,0.5
16,10,0.08235294117647059,1,0.5
17,1,0.12321981424148609,1,1.0
17,2,0.17192982456140352,1,1.0
17,3,0.2206398348813209,1,1.0
17,5,0.2272445820433436,1,0.5
17,10,0.304953560371517,1,0.5
18,1,0.2156862745098039,1,1.0
18,2,0.11568627450980391,1,1.0
18,3,0.08235294117647059,1,1.0
18,5,0.05568627450980392,1,0.5
18,10,0.035686274509803925,1,0.2
19,1,0.03137254901960784,0,0.05263157894736842
19,2,0.03137254901960784,0,0.05263157894736842
19,3,0.03137254901960784,0,0.05263157894736842
19,5,0.03137254901960784,0,0.05263157894736842
19,10,0.03137254901960784,0,0.05
20,1,0.03137254901960784,0,0.022222222222222223
20,2,0.03137254901960784,0,0.022222222222222223
20,3,0.03137254901960784,0,0.022222222222222223
20,5,0.052450980392156864,1,0.2
20,10,0.1321078431372549,1,0.5
21,1,0.039215686274509796,0,0.058823529411764705
21,2,0.039215686274509796,0,0.058823529411764705
21,3,0.039215686274509796,0,0.058823529411764705
21,5,0.039215686274509796,0,0.058823529411764705
21,10,0.04529411764705882,1,1.0
22,1,0.047058823529411764,0,0.058823529411764705
22,2,0.08480392156862747,1,1.0
22,3,0.07091503267973857,1,0.5
22,5,0.10588235294117648,1,0.5
22,10,0.11029411764705883,1,1.0
23,1,0.12398190045248869,1,1.0
23,2,0.19698340874811465,1,1.0
23,3,0.26998491704374056,1,1.0
23,5,0.4159879336349924,1,1.0
23,10,0.30437405731523376,1,1.0
24,1,0.1215686274509804,1,1.0
24,2,0.17647058823529413,1,1.0
